document_id,maximal_passages,unique_words
GHD-02164,2,60
GHD-01680,2,60
GHD-04422,2,60
GHD-00676,2,60
GHD-01830,2,60
GHD-01790,2,60
GHD-01258,2,60
GHD-01777,2,60
GHD-05082,2,60
GHD-05037,2,60
GHD-05029,2,60
GHD-04489,2,60
GHD-00900,2,60
GHD-04365,2,60
GHD-01035,2,60
GHD-01037,2,60
GHD-04275,2,60
GHD-01142,2,60
GHD-04232,2,60
GHD-01253,2,60
GHD-00509,2,60
GHD-01254,2,60
GHD-00090,2,60
GHD-02122,2,60
GHD-00241,2,60
GHD-00066,2,60
GHD-02417,2,59
GHD-01070,2,59
GHD-00367,2,59
GHD-02490,3,59
GHD-05003,2,59
GHD-04382,2,59
GHD-01783,3,59
GHD-04762,2,58
GHD-04139,3,58
GHD-04464,3,58
GHD-02511,2,57
GHD-03483,2,57
GHD-03973,2,57
GHD-01717,2,57
GHD-04771,2,57
GHD-02203,1,57
GHD-00737,1,57
GHD-02517,2,56
GHD-05147,2,56
GHD-04832,2,56
GHD-02752,3,56
GHD-05155,2,56
GHD-04463,2,56
GHD-03461,2,55
GHD-04823,2,55
GHD-01927,3,55
GHD-00699,2,55
GHD-00478,2,55
GHD-02184,2,55
GHD-04987,2,55
GHD-04079,2,54
GHD-03597,2,54
GHD-00763,2,54
GHD-03961,2,54
GHD-04724,2,53
GHD-03682,3,53
GHD-02056,2,53
GHD-04128,2,53
GHD-04648,2,53
GHD-02989,2,53
GHD-02750,2,52
GHD-04429,2,52
GHD-00336,2,52
GHD-04254,2,52
GHD-00100,2,52
GHD-03437,2,52
GHD-03835,2,51
GHD-05177,2,51
GHD-01319,2,51
GHD-05154,2,51
GHD-01351,3,51
GHD-01099,2,51
GHD-04925,2,51
GHD-01290,2,50
GHD-04050,2,50
GHD-02509,2,50
GHD-04075,2,50
GHD-01863,1,50
GHD-02727,2,50
GHD-01961,2,50
GHD-03888,2,50
GHD-03339,2,50
GHD-04188,2,49
GHD-03542,2,49
GHD-03385,2,49
GHD-01665,2,49
GHD-04115,2,49
GHD-04290,2,48
GHD-00758,2,48
GHD-03787,2,48
GHD-04845,2,48
GHD-03476,2,47
GHD-02504,2,47
GHD-01364,2,47
GHD-04280,1,47
GHD-04945,2,47
GHD-00720,2,46
GHD-04283,2,46
GHD-01205,2,46
GHD-03469,2,46
GHD-04809,2,46
GHD-03883,2,46
GHD-02411,2,46
GHD-05138,2,46
GHD-01347,2,45
GHD-00811,2,45
GHD-02244,1,45
GHD-01664,2,45
GHD-03992,1,45
GHD-01112,2,45
GHD-01839,2,44
GHD-00361,1,44
GHD-02570,2,43
GHD-04913,2,43
GHD-05150,1,41
GHD-00599,2,41
GHD-02972,2,41
GHD-00498,2,40
GHD-00812,2,40
GHD-04473,2,40
GHD-00267,1,39
GHD-01700,2,39
GHD-05170,2,39
GHD-02005,1,38
GHD-04059,2,38
GHD-00821,2,37
GHD-02337,1,37
GHD-00639,2,37
GHD-02106,3,36
CR-10.1142/s1013251120400081,2,35
GHD-00817,2,34
GHD-02478,2,34
CR-10.1177/18681034211057569,3,33
GHD-00589,1,31
GHD-03747,1,30
GHD-04569,1,30
GHD-04729,1,30
GHD-04657,1,30
GHD-03796,1,30
GHD-04556,1,30
GHD-04786,1,30
GHD-04773,1,30
GHD-03750,1,30
GHD-03989,1,30
GHD-04628,1,30
GHD-03917,1,30
GHD-03991,1,30
GHD-04244,1,30
GHD-04581,1,30
GHD-03981,1,30
GHD-04226,1,30
GHD-04288,1,30
GHD-04527,1,30
GHD-04216,1,30
GHD-03694,1,30
GHD-04351,1,30
GHD-03823,1,30
GHD-03699,1,30
GHD-04760,1,30
GHD-04102,1,30
GHD-03824,1,30
GHD-04100,1,30
GHD-04749,1,30
GHD-04281,1,30
GHD-04384,1,30
GHD-03806,1,30
GHD-03575,1,30
GHD-04524,1,30
GHD-03563,1,30
GHD-03868,1,30
GHD-04428,1,30
GHD-04441,1,30
GHD-04443,1,30
GHD-03535,1,30
GHD-04292,1,30
GHD-04273,1,30
GHD-04269,1,30
GHD-04001,1,30
GHD-03998,1,30
GHD-04497,1,30
GHD-03856,1,30
GHD-02455,1,30
GHD-01739,1,30
GHD-02158,1,30
GHD-01622,1,30
GHD-01504,1,30
GHD-01492,1,30
GHD-01480,1,30
GHD-01343,1,30
GHD-01285,1,30
GHD-01283,1,30
GHD-01249,1,30
GHD-01222,1,30
GHD-01219,1,30
GHD-01187,1,30
GHD-01176,1,30
GHD-01133,1,30
GHD-01124,1,30
GHD-01072,1,30
GHD-01065,1,30
GHD-01058,1,30
GHD-01697,1,30
GHD-01711,1,30
GHD-01761,1,30
GHD-01956,1,30
GHD-02087,1,30
GHD-04905,1,30
GHD-02044,1,30
GHD-02036,1,30
GHD-01975,1,30
GHD-01971,1,30
GHD-01962,1,30
GHD-01945,1,30
GHD-01773,1,30
GHD-01923,1,30
GHD-01919,1,30
GHD-01901,1,30
GHD-01887,1,30
GHD-01860,1,30
GHD-01854,1,30
GHD-01803,1,30
GHD-01056,1,30
GHD-04963,1,30
GHD-01053,1,30
GHD-00170,1,30
GHD-00371,1,30
GHD-00334,1,30
GHD-00282,1,30
GHD-00262,1,30
GHD-00217,1,30
GHD-00198,1,30
GHD-00183,1,30
GHD-00133,1,30
GHD-00433,1,30
GHD-00123,1,30
GHD-00083,1,30
GHD-00064,1,30
GHD-05157,1,30
GHD-05277,1,30
CR-10.1093/acrefore/9780190228637.013.330,2,30
GHD-05286,1,30
GHD-00424,1,30
GHD-00447,1,30
GHD-01042,1,30
GHD-00805,1,30
GHD-00966,1,30
GHD-04972,1,30
GHD-00923,1,30
GHD-00908,1,30
GHD-00834,1,30
GHD-00833,1,30
GHD-00823,1,30
GHD-00772,1,30
GHD-00510,1,30
GHD-05080,1,30
GHD-00759,1,30
GHD-00714,1,30
GHD-00651,1,30
GHD-00650,1,30
GHD-00603,1,30
GHD-00525,1,30
GHD-02134,1,30
GHD-04694,1,30
GHD-02733,1,30
GHD-02515,1,30
GHD-02501,1,30
GHD-02936,1,30
GHD-02926,1,30
GHD-03372,1,30
GHD-02913,1,30
GHD-02885,1,30
GHD-03254,1,30
GHD-04848,1,30
GHD-02512,1,30
GHD-03279,1,30
GHD-04870,1,30
GHD-02168,1,30
GHD-02516,1,30
GHD-02819,1,30
GHD-02567,1,30
GHD-02578,1,30
GHD-02770,1,30
GHD-02634,1,30
GHD-03336,1,30
GHD-02697,1,30
GHD-03379,1,30
GHD-02942,1,30
GHD-02497,1,30
GHD-02945,1,30
GHD-02178,1,30
GHD-02179,1,30
GHD-03106,1,30
GHD-02198,1,30
GHD-03079,1,30
GHD-02225,1,30
GHD-02239,1,30
GHD-03054,1,30
GHD-04891,1,30
GHD-02370,1,30
GHD-02394,1,30
GHD-03028,1,30
GHD-03022,1,30
GHD-03235,1,30
GHD-02984,1,30
GHD-04876,1,30
GHD-02456,1,30
GHD-04837,1,30
GHD-03327,1,30
GHD-05120,1,29
GHD-00426,1,29
GHD-03290,1,29
GHD-02784,1,29
GHD-02163,1,29
GHD-01698,1,29
GHD-01449,1,29
GHD-03913,1,29
GHD-01517,1,29
GHD-01450,1,29
GHD-04824,1,28
GHD-03821,1,28
GHD-03383,1,28
GHD-02444,1,28
GHD-01889,1,28
GHD-04871,1,28
GHD-03032,1,28
GHD-01282,1,28
GHD-03137,1,28
GHD-01255,1,28
GHD-04959,1,28
GHD-00435,1,28
GHD-02603,1,28
GHD-01090,1,28
GHD-02181,1,28
GHD-01210,1,28
GHD-03449,1,27
GHD-00495,1,27
GHD-04888,1,27
GHD-03893,1,27
GHD-02475,1,27
GHD-03116,1,27
GHD-03496,1,27
GHD-04611,1,27
GHD-04850,1,27
GHD-02773,1,27
GHD-04532,1,27
CR-10.1017/s1752971923000118,2,26
GHD-02484,1,26
GHD-00396,1,26
GHD-04465,1,26
GHD-00828,1,26
GHD-03046,1,26
GHD-01520,1,26
GHD-04551,1,26
GHD-02959,1,25
GHD-02787,1,25
GHD-05102,1,25
GHD-03702,1,25
GHD-02242,1,25
GHD-02911,1,25
GHD-02754,1,25
GHD-00040,1,25
GHD-05169,1,24
GHD-05151,1,24
GHD-03295,1,24
GHD-03446,1,24
GHD-00354,1,24
GHD-00785,1,24
GHD-01868,1,24
GHD-01730,1,24
GHD-04236,1,24
GHD-01092,1,24
